Season,Team,POS,PLAYER,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w,player_strength
2018,Mumbai,5,Krunal Pandya,14,13,40.1,284,12,0,23.66,7.07,20.08,0,0,193.5427157
2018,Mumbai,6,Mustafizur Rahman,7,7,27.3,230,7,0,32.85,8.36,23.57,0,0,153.9172249
2018,Mumbai,7,Ben Cutting,9,7,17,168,2,0,84,9.88,51,0,0,120.2145749
2018,Mumbai,8,Pradeep Sangwan,1,1,2,19,0,0,50,9.5,-,0,0,107.2631579
2018,Mumbai,9,Akila Dananjaya,1,1,4,47,0,0,50,11.75,-,0,0,89.10638298
2018,Mumbai,10,JP Duminy,6,2,3,36,0,0,50,12,-,0,0,86.33333333
2018,Rajasthan,1,JofraArcher,10,10,38.5,325,15,0,21.66,8.36,15.53,0,0,173.1172249
2018,Rajasthan,2,Shreyas Gopal,11,10,31,236,11,0,21.45,7.61,16.9,1,0,173.4060447
2018,Rajasthan,3,Krishnappa Gowtham,15,15,40,312,11,0,28.36,7.8,21.81,0,0,179.2051282
2018,Rajasthan,4,Jaydev Unadkat,15,15,50.2,486,11,0,44.18,9.65,27.45,0,0,164.826943
2018,Rajasthan,5,Ben Laughlin,7,7,21,211,9,0,23.44,10.04,14,0,0,129.6015936
2018,Rajasthan,6,Ben Stokes,13,12,37,303,8,0,37.87,8.18,27.75,0,0,167.2493888
2018,Rajasthan,7,Ish Sodhi,6,6,23,135,5,0,27,5.86,27.6,0,0,198.6484642
2018,Rajasthan,8,Dhawal Kulkarni,8,8,19.5,188,4,0,47,9.47,29.75,0,0,129.0966209
2018,Rajasthan,9,D'Arcy Short,7,2,3,19,1,0,19,6.33,18,0,0,161.9778831
2018,Rajasthan,10,Anureet Singh,3,3,4,42,1,0,42,10.5,24,0,0,100.2380952
2018,Rajasthan,11,Mahipal Lomror,2,2,3,27,0,0,50,9,-,0,0,114.1111111
2018,Rajasthan,12,Ankit Sharma,1,1,1,11,0,0,50,11,-,0,0,91.90909091
2018,Rajasthan,13,Stuart Binny,7,1,2,33,0,0,50,16.5,-,0,0,62.60606061
2018,RCB,1,UmeshYadav,14,14,53.1,418,20,0,20.9,7.86,15.95,0,0,200.3264631
2018,RCB,2,Yuzvendra Chahal,14,14,50,363,12,0,30.25,7.26,25,0,0,199.7410468
2018,RCB,3,Mohammed Siraj,11,11,41,367,11,0,33.36,8.95,22.36,0,0,163.7318436
2018,RCB,4,Chris Woakes,5,5,18.2,190,8,0,23.75,10.36,13.75,0,0,122.7250965
2018,RCB,5,Tim Southee,8,8,29,261,5,0,52.2,9,34.8,0,0,145.1111111
2018,RCB,6,Washington Sundar,7,7,20,192,4,0,48,9.6,30,0,0,128.1666667
2018,RCB,7,Moeen Ali,5,5,13.1,97,3,0,32.33,7.36,26.33,0,0,151.9695652
2018,RCB,8,Murugan Ashwin,2,2,7,53,3,0,17.66,7.57,14,0,0,142.1003963
2018,RCB,9,Corey Anderson,3,3,8.4,115,3,0,38.33,13.26,17.33,0,0,86.8147813
2018,RCB,10,Colin de Grandhomme,9,7,15,129,2,0,64.5,8.6,45,0,0,133.2790698
2018,RCB,11,Kulwant Khejroliya,3,3,10.5,107,2,0,53.5,9.87,32.5,0,0,113.8171226
2018,RCB,12,Pawan Negi,2,2,4,49,1,0,49,12.25,24,0,0,86.63265306
2018,Hyderabad,1,RashidKhan,17,17,68,458,21,0,21.8,6.73,19.42,0,0,237.5884101
2018,Hyderabad,2,Siddarth Kaul,17,17,66,547,21,0,26.04,8.28,18.85,0,0,207.7729469
2018,Hyderabad,3,Shakib Al Hasan,17,17,57,456,14,0,32.57,8,24.42,0,0,196
2018,Hyderabad,4,Sandeep Sharma,12,12,44,333,12,0,27.75,7.56,22,0,0,188.2751323
